Code de la commune,Nom de la commune,Nature de la modification,date d'effet ,Code commune associée,Ancien code de la commune
27583,Saint-Paër,Fusion (commune absorbée),01-01-1973,27533,
27693,Sylvains-les-Moulins,Fusion (commune absorbante),01-10-1972,27178,
27701,Val-de-Reuil,Création,28-09-1981,27351,
27701,Val-de-Reuil,Création,28-09-1981,27365,
27701,Val-de-Reuil,Création,28-09-1981,27471,
27701,Val-de-Reuil,Création,28-09-1981,27474,
27701,Val-de-Reuil,Création,28-09-1981,27528,
27701,Val-de-Reuil,Création,28-09-1981,27537,
27701,Val-de-Reuil,Création,28-09-1981,27598,
27701,Val-de-Reuil,Création,28-09-1981,27651,
28002,Allaines-Mervilliers,Fusion (commune absorbante),28-12-1972,28244,
28011,Armenonville-les-Gâtineaux,Fusion (commune absorbée),07-12-1972,28023,
28023,Bailleau-Armenonville,Fusion (commune absorbante),07-12-1972,28011,
28034,Berchères-Saint-Germain,Fusion (commune absorbante),14-12-1972,28338,
28043,Blévy,Fusion (commune absorbée),26-12-1972,28226,
28048,Bourdinière-Saint-Loup,Fusion (commune absorbante),24-11-1972,28345,
28056,Boutigny-Prouais,Fusion (commune absorbante),29-12-1972,28307,
28097,Chêne-Chenu,Fusion (commune absorbée),01-12-1972,28393,
28120,Crucey-Villages,Fusion (commune absorbante),22-12-1972,28228,
28120,Crucey-Villages,Fusion (commune absorbante),22-12-1972,28420,
28125,Dampierre-sur-Blévy,Fusion (commune absorbée),26-12-1972,28226,
28131,Dommerville,Fusion (commune absorbée),01-11-1974,91016,
28138,Écublé,Fusion (commune absorbée),01-12-1972,28393,
28159,Framboisière-la-Saucelle,Fusion (commune absorbante),22-12-1972,28368,
28159,Framboisière,Commune se séparant,01-01-1987,28368,
28168,Gallardon,Fusion (commune absorbante),13-12-1972,28266,
28174,Gâtelles,Fusion (commune absorbée),01-12-1972,28386,
28181,Gironville-et-Neuville,Fusion (commune absorbée),01-12-1972,28393,
28183,Gommerville,Fusion (commune absorbante),19-12-1972,28186,
28186,Grandville-Gaudreville,Fusion (commune absorbée),19-12-1972,28183,
28226,Maillebois,Fusion (commune absorbante),26-12-1972,28043,
28226,Maillebois,Fusion (commune absorbante),26-12-1972,28125,
28226,Maillebois,Fusion (commune absorbante),26-12-1972,28351,
28226,Maillebois,Commune se séparant,01-01-1982,28351,
28228,Mainterne,Fusion (commune absorbée),22-12-1972,28120,
28238,Marville-les-Bois,Fusion (commune absorbée),20-12-1972,28360,
28244,Mervilliers,Fusion (commune absorbée),28-12-1972,28002,
28266,Montlouet,Fusion (commune absorbée),13-12-1972,28168,
28279,Nogent-le-Roi,Fusion (commune absorbante),27-12-1972,28399,
28307,Prouais,Fusion (commune absorbée),29-12-1972,28056,
28328,Saint-Chéron-des-Champs,Fusion (commune absorbée),01-12-1972,28393,
28338,Saint-Germain-la-Gâtine,Fusion (commune absorbée),14-12-1972,28034,
28345,Saint-Loup,Fusion (commune absorbée),24-11-1972,28048,
28351,Saint-Maixme-Hauterive,Fusion (commune absorbée),26-12-1972,28226,
28351,Saint-Maixme-Hauterive,Rétablissement,01-01-1982,28226,
28360,Saint-Sauveur-Marville,Fusion (commune absorbante),20-12-1972,28238,
28368,Saucelle,Fusion (commune absorbée),22-12-1972,28159,
28368,Saucelle,Rétablissement,01-01-1987,28159,
28373,Senonches,Fusion (commune absorbante),22-12-1972,28381,
28373,Senonches,Fusion (commune absorbante),22-12-1972,28413,
28381,Tardais,Fusion (commune absorbée),22-12-1972,28373,
28384,Theuvy-Achères,Fusion (commune absorbée),01-12-1972,28393,
28386,Thimert-Gâtelles,Fusion (commune absorbante),01-12-1972,28174,
28393,Tremblay-les-Villages,Fusion (commune absorbante),01-12-1972,28097,
28393,Tremblay-les-Villages,Fusion (commune absorbante),01-12-1972,28138,
28393,Tremblay-les-Villages,Fusion (commune absorbante),01-12-1972,28181,
28393,Tremblay-les-Villages,Fusion (commune absorbante),01-12-1972,28328,
28393,Tremblay-les-Villages,Fusion (commune absorbante),01-12-1972,28384,
28399,Vacheresses-les-Basses,Fusion (commune absorbée),27-12-1972,28279,
28413,Ville-aux-Nonains,Fusion (commune absorbée),22-12-1972,28373,
28420,Vitray-sous-Brézolles,Fusion (commune absorbée),22-12-1972,28120,
29053,Faou,Fusion (commune absorbante),01-01-1971,29242,
29092,Kernével,Fusion (commune absorbée),01-01-1974,29241,
29121,Larret,Fusion (commune absorbée),01-01-1971,29221,
29221,Porspoder,Fusion (commune absorbante),01-01-1971,29121,
29241,Rosporden,Fusion (commune absorbante),01-01-1974,29092,
29242,Rumengol,Fusion (commune absorbée),01-01-1971,29053,
2A001,Afa,Changement de département,01-01-1976,,20001
2A004,Ajaccio,Changement de département,01-01-1976,,20004
2A006,Alata,Changement de département,01-01-1976,,20006
2A008,Albitreccia,Changement de département,01-01-1976,,20008
2A011,Altagène,Changement de département,01-01-1976,,20011
2A014,Ambiegna,Changement de département,01-01-1976,,20014
2A017,Appietto,Changement de département,01-01-1976,,20017
2A018,Arbellara,Changement de département,01-01-1976,,20018
2A019,Arbori,Changement de département,01-01-1976,,20019
2A021,Argiusta-Moriccio,Changement de département,01-01-1976,,20021
2A022,Arro,Changement de département,01-01-1976,,20022
2A024,Aullène,Changement de département,01-01-1976,,20024
2A026,Azilone-Ampaza,Changement de département,01-01-1976,,20026
2A027,Azzana,Changement de département,01-01-1976,,20027
2A028,Balogna,Changement de département,01-01-1976,,20028
2A031,Bastelica,Changement de département,01-01-1976,,20031
2A032,Bastelicaccia,Changement de département,01-01-1976,,20032
2A035,Belvédère-Campomoro,Changement de département,01-01-1976,,20035
2A038,Bilia,Changement de département,01-01-1976,,20038
2A040,Bocognano,Changement de département,01-01-1976,,20040
2A041,Bonifacio,Changement de département,01-01-1976,,20041
2A048,Calcatoggio,Changement de département,01-01-1976,,20048
2A056,Campo,Changement de département,01-01-1976,,20056
2A060,Cannelle,Changement de département,01-01-1976,,20060
2A061,Carbini,Changement de département,01-01-1976,,20061
2A062,Carbuccia,Changement de département,01-01-1976,,20062
2A064,Cardo-Torgia,Changement de département,01-01-1976,,20064
2A065,Cargèse,Changement de département,01-01-1976,,20065
2A066,Cargiaca,Changement de département,01-01-1976,,20066
2A070,Casaglione,Changement de département,01-01-1976,,20070
2A071,Casalabriva,Changement de département,01-01-1976,,20071
2A085,Cauro,Changement de département,01-01-1976,,20085
2A089,Ciamannacce,Changement de département,01-01-1976,,20089
2A090,Coggia,Changement de département,01-01-1976,,20090
2A091,Cognocoli-Monticchi,Changement de département,01-01-1976,,20091
2A092,Conca,Changement de département,01-01-1976,,20092
2A094,Corrano,Changement de département,01-01-1976,,20094
2A098,Coti-Chiavari,Changement de département,01-01-1976,,20098
2A099,Cozzano,Changement de département,01-01-1976,,20099
2A100,Cristinacce,Changement de département,01-01-1976,,20100
2A103,Cuttoli-Corticchiato,Changement de département,01-01-1976,,20103
2A104,Eccica-Suarella,Changement de département,01-01-1976,,20104
2A108,Évisa,Changement de département,01-01-1976,,20108
2A114,Figari,Changement de département,01-01-1976,,20114
2A115,Foce,Changement de département,01-01-1976,,20115
2A117,Forciolo,Changement de département,01-01-1976,,20117
2A118,Fozzano,Changement de département,01-01-1976,,20118
2A119,Frasseto,Changement de département,01-01-1976,,20119
2A127,Giuncheto,Changement de département,01-01-1976,,20127
2A128,Granace,Changement de département,01-01-1976,,20128
2A129,Grossa,Changement de département,01-01-1976,,20129
2A130,Grosseto-Prugna,Changement de département,01-01-1976,,20130
2A131,Guagno,Changement de département,01-01-1976,,20131
2A132,Guargualé,Changement de département,01-01-1976,,20132
2A133,Guitera-les-Bains,Changement de département,01-01-1976,,20133
2A139,Lecci,Changement de département,01-01-1976,,20139
2A141,Letia,Changement de département,01-01-1976,,20141
2A142,Levie,Changement de département,01-01-1976,,20142
2A144,Lopigna,Changement de département,01-01-1976,,20144
2A146,Loreto-di-Tallano,Changement de département,01-01-1976,,20146
2A154,Marignana,Changement de département,01-01-1976,,20154
2A158,Mela,Changement de département,01-01-1976,,20158
2A160,Moca-Croce,Changement de département,01-01-1976,,20160
2A163,Monacia-d'Aullène,Changement de département,01-01-1976,,20163
2A174,Murzo,Changement de département,01-01-1976,,20174
2A181,Ocana,Changement de département,01-01-1976,,20181
2A186,Olivese,Changement de département,01-01-1976,,20186
2A189,Olmeto,Changement de département,01-01-1976,,20189
2A191,Olmiccia,Changement de département,01-01-1976,,20191
2A196,Orto,Changement de département,01-01-1976,,20196
2A197,Osani,Changement de département,01-01-1976,,20197
2A198,Ota,Changement de département,01-01-1976,,20198
2A200,Palneca,Changement de département,01-01-1976,,20200
2A203,Partinello,Changement de département,01-01-1976,,20203
2A204,Pastricciola,Changement de département,01-01-1976,,20204
2A209,Peri,Changement de département,01-01-1976,,20209
2A211,Petreto-Bicchisano,Changement de département,01-01-1976,,20211
2A212,Piana,Changement de département,01-01-1976,,20212
2A215,Pianotolli-Caldarello,Changement de département,01-01-1976,,20215
2A228,Pietrosella,Changement de département,01-01-1976,,20228
2A232,Pila-Canale,Changement de département,01-01-1976,,20232
2A240,Poggiolo,Changement de département,01-01-1976,,20240
2A247,Porto-Vecchio,Changement de département,01-01-1976,,20247
2A249,Propriano,Fusion (commune absorbante),01-04-1974,2A325,
2A249,Propriano,Changement de département,01-01-1976,,20249
2A253,Quasquara,Changement de département,01-01-1976,,20253
2A254,Quenza,Changement de département,01-01-1976,,20254
2A258,Renno,Changement de département,01-01-1976,,20258
2A259,Rezza,Changement de département,01-01-1976,,20259
2A262,Rosazia,Changement de département,01-01-1976,,20262
2A266,Salice,Changement de département,01-01-1976,,20266
2A268,Sampolo,Changement de département,01-01-1976,,20268
2A269,Sari-di-Porto-Vecchio,Changement de département,01-01-1976,,20269
2A270,Sari-d'Orcino,Changement de département,01-01-1976,,20270
2A271,Sarrola-Carcopino,Changement de département,01-01-1976,,20271
2A272,Sartène,Changement de département,01-01-1976,,20272
2A276,Serra-di-Ferro,Changement de département,01-01-1976,,20276
2A278,Serra-di-Scopamène,Changement de département,01-01-1976,,20278
2A279,Serriera,Changement de département,01-01-1976,,20279
2A282,Soccia,Changement de département,01-01-1976,,20282
2A284,Sollacaro,Changement de département,01-01-1976,,20284
2A285,Sorbollano,Changement de département,01-01-1976,,20285
2A288,Sotta,Changement de département,01-01-1976,,20288
2A295,Sant'Andréa-d'Orcino,Changement de département,01-01-1976,,20295
2A300,San-Gavino-di-Carbini,Changement de département,01-01-1976,,20300
2A308,Sainte-Lucie-de-Tallano,Changement de département,01-01-1976,,20308
2A310,Santa-Maria-Figaniella,Changement de département,01-01-1976,,20310
2A312,Santa-Maria-Siché,Changement de département,01-01-1976,,20312
2A322,Tasso,Changement de département,01-01-1976,,20322
2A323,Tavaco,Changement de département,01-01-1976,,20323
2A324,Tavera,Changement de département,01-01-1976,,20324
2A325,Tivolaggio,Fusion (commune absorbée),01-04-1974,2A249,
2A326,Tolla,Changement de département,01-01-1976,,20326
2A330,Ucciani,Changement de département,01-01-1976,,20330
2A331,Urbalacone,Changement de département,01-01-1976,,20331
2A336,Valle-di-Mezzana,Changement de département,01-01-1976,,20336
2A345,Vero,Changement de département,01-01-1976,,20345
2A348,Vico,Changement de département,01-01-1976,,20348
2A349,Viggianello,Changement de département,01-01-1976,,20349
2A351,Villanova,Changement de département,01-01-1976,,20351
2A357,Zérubia,Changement de département,01-01-1976,,20357
2A358,Zévaco,Changement de département,01-01-1976,,20358
2A359,Zicavo,Changement de département,01-01-1976,,20359
2A360,Zigliara,Changement de département,01-01-1976,,20360
2A362,Zonza,Changement de département,01-01-1976,,20362
2A363,Zoza,Changement de département,01-01-1976,,20363
2B002,Aghione,Changement de département,01-01-1976,,20002
2B003,Aiti,Changement de département,01-01-1976,,20003
2B005,Alando,Changement de département,01-01-1976,,20005
2B007,Albertacce,Changement de département,01-01-1976,,20007
2B009,Aléria,Changement de département,01-01-1976,,20009
2B010,Algajola,Changement de département,01-01-1976,,20010
2B012,Altiani,Changement de département,01-01-1976,,20012
2B013,Alzi,Changement de département,01-01-1976,,20013
2B015,Ampriani,Changement de département,01-01-1976,,20015
2B016,Antisanti,Changement de département,01-01-1976,,20016
2B020,Aregno,Changement de département,01-01-1976,,20020
2B023,Asco,Changement de département,01-01-1976,,20023
2B025,Avapessa,Changement de département,01-01-1976,,20025
2B029,Barbaggio,Changement de département,01-01-1976,,20029
2B030,Barrettali,Changement de département,01-01-1976,,20030
2B033,Bastia,Changement de département,01-01-1976,,20033
2B034,Belgodère,Changement de département,01-01-1976,,20034
2B036,Bigorno,Changement de département,01-01-1976,,20036
2B037,Biguglia,Changement de département,01-01-1976,,20037
2B039,Bisinchi,Changement de département,01-01-1976,,20039
2B042,Borgo,Changement de département,01-01-1976,,20042
2B043,Brando,Changement de département,01-01-1976,,20043
2B044,Brustico,Fusion (commune absorbée),01-01-1972,2B063,
2B045,Bustanico,Changement de département,01-01-1976,,20045
2B046,Cagnano,Changement de département,01-01-1976,,20046
2B047,Calacuccia,Changement de département,01-01-1976,,20047
2B049,Calenzana,Changement de département,01-01-1976,,20049
2B050,Calvi,Changement de département,01-01-1976,,20050
2B051,Cambia,Changement de département,01-01-1976,,20051
2B052,Campana,Changement de département,01-01-1976,,20052
2B053,Campi,Changement de département,01-01-1976,,20053
2B054,Campile,Changement de département,01-01-1976,,20054
2B055,Campitello,Changement de département,01-01-1976,,20055
2B057,Canale-di-Verde,Changement de département,01-01-1976,,20057
2B058,Canari,Changement de département,01-01-1976,,20058
2B059,Canavaggia,Changement de département,01-01-1976,,20059
2B063,Carcheto-Brustico,Fusion (commune absorbante),01-01-1972,2B044,
2B063,Carcheto-Brustico,Changement de département,01-01-1976,,20063
2B067,Carpineto,Changement de département,01-01-1976,,20067
2B068,Carticasi,Changement de département,01-01-1976,,20068
2B069,Casabianca,Changement de département,01-01-1976,,20069
2B072,Casalta,Changement de département,01-01-1976,,20072
2B073,Casamaccioli,Changement de département,01-01-1976,,20073
2B074,Casanova,Changement de département,01-01-1976,,20074
2B075,Casevecchie,Changement de département,01-01-1976,,20075
2B076,Cassano,Fusion (commune absorbée),01-01-1973,2B167,
2B077,Castellare-di-Casinca,Changement de département,01-01-1976,,20077
2B078,Castellare-di-Mercurio,Changement de département,01-01-1976,,20078
2B079,Castello-di-Rostino,Changement de département,01-01-1976,,20079
2B080,Castifao,Changement de département,01-01-1976,,20080
2B081,Castiglione,Changement de département,01-01-1976,,20081
2B082,Castineta,Changement de département,01-01-1976,,20082
2B083,Castirla,Changement de département,01-01-1976,,20083
2B084,Cateri,Changement de département,01-01-1976,,20084
2B086,Centuri,Changement de département,01-01-1976,,20086
2B087,Cervione,Changement de département,01-01-1976,,20087
2B088,Chiatra,Changement de département,01-01-1976,,20088
2B093,Corbara,Changement de département,01-01-1976,,20093
2B095,Corscia,Changement de département,01-01-1976,,20095
2B096,Corte,Changement de département,01-01-1976,,20096
2B097,Costa,Changement de département,01-01-1976,,20097
2B101,Croce,Changement de département,01-01-1976,,20101
2B102,Crocicchia,Changement de département,01-01-1976,,20102
2B105,Erbajolo,Changement de département,01-01-1976,,20105
2B106,Érone,Changement de département,01-01-1976,,20106
2B107,Ersa,Changement de département,01-01-1976,,20107
2B109,Farinole,Changement de département,01-01-1976,,20109
2B110,Favalello,Changement de département,01-01-1976,,20110
2B111,Felce,Changement de département,01-01-1976,,20111
2B112,Feliceto,Changement de département,01-01-1976,,20112
2B113,Ficaja,Changement de département,01-01-1976,,20113
2B116,Focicchia,Changement de département,01-01-1976,,20116
2B120,Furiani,Changement de département,01-01-1976,,20120
2B121,Galéria,Changement de département,01-01-1976,,20121
2B122,Gavignano,Changement de département,01-01-1976,,20122
2B123,Ghisonaccia,Changement de département,01-01-1976,,20123
2B124,Ghisoni,Changement de département,01-01-1976,,20124
2B125,Giocatojo,Changement de département,01-01-1976,,20125
2B126,Giuncaggio,Changement de département,01-01-1976,,20126
2B134,Île-Rousse,Changement de département,01-01-1976,,20134
2B135,Isolaccio-di-Fiumorbo,Changement de département,01-01-1976,,20135
2B136,Lama,Changement de département,01-01-1976,,20136
2B137,Lano,Changement de département,01-01-1976,,20137
2B138,Lavatoggio,Changement de département,01-01-1976,,20138
2B140,Lento,Changement de département,01-01-1976,,20140
2B143,Linguizzetta,Changement de département,01-01-1976,,20143
2B145,Loreto-di-Casinca,Changement de département,01-01-1976,,20145
2B147,Lozzi,Changement de département,01-01-1976,,20147
2B148,Lucciana,Changement de département,01-01-1976,,20148
2B149,Lugo-di-Nazza,Changement de département,01-01-1976,,20149
2B150,Lumio,Changement de département,01-01-1976,,20150
2B151,Lunghignano,Fusion (commune absorbée),01-01-1972,2B167,
2B152,Luri,Changement de département,01-01-1976,,20152
2B153,Manso,Changement de département,01-01-1976,,20153
2B155,Matra,Changement de département,01-01-1976,,20155
2B156,Mausoléo,Changement de département,01-01-1976,,20156
2B157,Mazzola,Changement de département,01-01-1976,,20157
2B159,Meria,Changement de département,01-01-1976,,20159
2B161,Moïta,Changement de département,01-01-1976,,20161
2B162,Moltifao,Changement de département,01-01-1976,,20162
2B164,Monacia-d'Orezza,Changement de département,01-01-1976,,20164
2B165,Moncale,Changement de département,01-01-1976,,20165
2B166,Monte,Changement de département,01-01-1976,,20166
2B167,Saint-Rainier-de-Balagne,Fusion (commune absorbante),01-01-1972,2B151,
2B167,Montegrosso,Fusion (commune absorbante),01-01-1973,2B076,
2B167,Montegrosso,Changement de département,01-01-1976,,20167
2B168,Monticello,Changement de département,01-01-1976,,20168
2B169,Morosaglia,Changement de département,01-01-1976,,20169
2B170,Morsiglia,Changement de département,01-01-1976,,20170
2B171,Muracciole,Changement de département,01-01-1976,,20171
2B172,Murato,Changement de département,01-01-1976,,20172
2B173,Muro,Changement de département,01-01-1976,,20173
2B175,Nessa,Changement de département,01-01-1976,,20175
2B176,Nocario,Changement de département,01-01-1976,,20176
2B177,Noceta,Changement de département,01-01-1976,,20177
2B178,Nonza,Changement de département,01-01-1976,,20178
2B179,Novale,Changement de département,01-01-1976,,20179
2B180,Novella,Changement de département,01-01-1976,,20180
2B182,Occhiatana,Changement de département,01-01-1976,,20182
2B183,Ogliastro,Changement de département,01-01-1976,,20183
2B184,Olcani,Changement de département,01-01-1976,,20184
2B185,Oletta,Changement de département,01-01-1976,,20185
2B187,Olmeta-di-Capocorso,Changement de département,01-01-1976,,20187
2B188,Olmeta-di-Tuda,Changement de département,01-01-1976,,20188
2B190,Olmi-Cappella,Changement de département,01-01-1976,,20190
2B192,Olmo,Changement de département,01-01-1976,,20192
2B193,Omessa,Changement de département,01-01-1976,,20193
2B194,Ortale,Changement de département,01-01-1976,,20194
2B195,Ortiporio,Changement de département,01-01-1976,,20195
2B199,Palasca,Changement de département,01-01-1976,,20199
2B201,Pancheraccia,Changement de département,01-01-1976,,20201
2B202,Parata,Changement de département,01-01-1976,,20202
2B205,Patrimonio,Changement de département,01-01-1976,,20205
2B206,Penta-Acquatella,Changement de département,01-01-1976,,20206
2B207,Penta-di-Casinca,Changement de département,01-01-1976,,20207
2B208,Perelli,Changement de département,01-01-1976,,20208
2B210,Pero-Casevecchie,Changement de département,01-01-1976,,20210
2B213,Pianello,Changement de département,01-01-1976,,20213
2B214,Piano,Changement de département,01-01-1976,,20214
2B216,Piazzali,Changement de département,01-01-1976,,20216
2B217,Piazzole,Changement de département,01-01-1976,,20217
2B218,Piedicorte-di-Gaggio,Changement de département,01-01-1976,,20218
2B219,Piedicroce,Changement de département,01-01-1976,,20219
2B220,Piedigriggio,Changement de département,01-01-1976,,20220
2B221,Piedipartino,Changement de département,01-01-1976,,20221
2B222,Pie-d'Orezza,Changement de département,01-01-1976,,20222
2B223,Pietralba,Changement de département,01-01-1976,,20223
2B224,Pietracorbara,Changement de département,01-01-1976,,20224
2B225,Pietra-di-Verde,Changement de département,01-01-1976,,20225
2B226,Pietraserena,Changement de département,01-01-1976,,20226
2B227,Pietricaggio,Changement de département,01-01-1976,,20227
2B229,Pietroso,Changement de département,01-01-1976,,20229
2B230,Piève,Changement de département,01-01-1976,,20230
2B231,Pigna,Changement de département,01-01-1976,,20231
2B233,Pino,Changement de département,01-01-1976,,20233
2B234,Piobetta,Changement de département,01-01-1976,,20234
2B235,Pioggiola,Changement de département,01-01-1976,,20235
2B236,Poggio-di-Nazza,Changement de département,01-01-1976,,20236
2B238,Poggio-di-Venaco,Changement de département,01-01-1976,,20238
2B239,Poggio-d'Oletta,Changement de département,01-01-1976,,20239
2B241,Poggio-Marinaccio,Changement de département,01-01-1976,,20241
2B242,Poggio-Mezzana,Changement de département,01-01-1976,,20242
2B243,Polveroso,Changement de département,01-01-1976,,20243
2B244,Popolasca,Changement de département,01-01-1976,,20244
2B245,Porri,Changement de département,01-01-1976,,20245
2B246,Porta,Changement de département,01-01-1976,,20246
2B248,Prato-di-Giovellina,Changement de département,01-01-1976,,20248
2B250,Prunelli-di-Casacconi,Changement de département,01-01-1976,,20250
2B251,Prunelli-di-Fiumorbo,Changement de département,01-01-1976,,20251
2B252,Pruno,Changement de département,01-01-1976,,20252
2B255,Quercitello,Changement de département,01-01-1976,,20255
2B256,Rapaggio,Changement de département,01-01-1976,,20256
2B257,Rapale,Changement de département,01-01-1976,,20257
2B260,Riventosa,Changement de département,01-01-1976,,20260
2B261,Rogliano,Changement de département,01-01-1976,,20261
2B263,Rospigliani,Changement de département,01-01-1976,,20263
2B264,Rusio,Changement de département,01-01-1976,,20264
2B265,Rutali,Changement de département,01-01-1976,,20265
2B267,Saliceto,Changement de département,01-01-1976,,20267
2B273,Scata,Changement de département,01-01-1976,,20273
2B274,Scolca,Changement de département,01-01-1976,,20274
2B275,Sermano,Changement de département,01-01-1976,,20275
2B277,Serra-di-Fiumorbo,Changement de département,01-01-1976,,20277
2B280,Silvareccio,Changement de département,01-01-1976,,20280
2B281,Sisco,Changement de département,01-01-1976,,20281
2B283,Solaro,Changement de département,01-01-1976,,20283
2B286,Sorbo-Ocagnano,Changement de département,01-01-1976,,20286
2B287,Sorio,Changement de département,01-01-1976,,20287
2B289,Soveria,Changement de département,01-01-1976,,20289
2B290,Speloncato,Changement de département,01-01-1976,,20290
2B291,Stazzona,Changement de département,01-01-1976,,20291
2B292,Sant'Andréa-di-Bozio,Changement de département,01-01-1976,,20292
2B293,Sant'Andréa-di-Cotone,Changement de département,01-01-1976,,20293
2B296,Sant'Antonino,Changement de département,01-01-1976,,20296
2B297,San-Damiano,Changement de département,01-01-1976,,20297
2B298,Saint-Florent,Changement de département,01-01-1976,,20298
2B299,San-Gavino-d'Ampugnani,Changement de département,01-01-1976,,20299
2B301,San-Gavino-di-Tenda,Changement de département,01-01-1976,,20301
2B302,San-Giovanni-di-Moriani,Changement de département,01-01-1976,,20302
2B303,San-Giuliano,Changement de département,01-01-1976,,20303
2B304,San-Lorenzo,Changement de département,01-01-1976,,20304
2B305,San-Martino-di-Lota,Changement de département,01-01-1976,,20305
2B306,Santa-Lucia-di-Mercurio,Changement de département,01-01-1976,,20306
2B307,Santa-Lucia-di-Moriani,Changement de département,01-01-1976,,20307
2B309,Santa-Maria-di-Lota,Changement de département,01-01-1976,,20309
2B311,Santa-Maria-Poggio,Changement de département,01-01-1976,,20311
2B313,San-Nicolao,Changement de département,01-01-1976,,20313
2B314,Santo-Pietro-di-Tenda,Changement de département,01-01-1976,,20314
2B315,Santo-Pietro-di-Venaco,Changement de département,01-01-1976,,20315
2B316,Santa-Reparata-di-Balagna,Changement de département,01-01-1976,,20316
2B317,Santa-Reparata-di-Moriani,Changement de département,01-01-1976,,20317
2B318,Taglio-Isolaccio,Changement de département,01-01-1976,,20318
2B319,Talasani,Changement de département,01-01-1976,,20319
2B320,Tallone,Changement de département,01-01-1976,,20320
2B321,Tarrano,Changement de département,01-01-1976,,20321
2B327,Tomino,Changement de département,01-01-1976,,20327
2B328,Tox,Changement de département,01-01-1976,,20328
2B329,Tralonca,Changement de département,01-01-1976,,20329
2B332,Urtaca,Changement de département,01-01-1976,,20332
2B333,Vallecalle,Changement de département,01-01-1976,,20333
2B334,Valle-d'Alesani,Changement de département,01-01-1976,,20334
2B335,Valle-di-Campoloro,Changement de département,01-01-1976,,20335
2B337,Valle-di-Rostino,Changement de département,01-01-1976,,20337
2B338,Valle-d'Orezza,Changement de département,01-01-1976,,20338
2B339,Vallica,Changement de département,01-01-1976,,20339
2B340,Velone-Orneto,Changement de département,01-01-1976,,20340
2B341,Venaco,Changement de département,01-01-1976,,20341
2B342,Ventiseri,Changement de département,01-01-1976,,20342
2B343,Venzolasca,Changement de département,01-01-1976,,20343
2B344,Verdèse,Changement de département,01-01-1976,,20344
2B346,Vescovato,Changement de département,01-01-1976,,20346
2B347,Vezzani,Changement de département,01-01-1976,,20347
2B350,Vignale,Changement de département,01-01-1976,,20350
2B352,Ville-di-Paraso,Changement de département,01-01-1976,,20352
2B353,Ville-di-Pietrabugno,Changement de département,01-01-1976,,20353
2B354,Vivario,Changement de département,01-01-1976,,20354
2B355,Volpajola,Changement de département,01-01-1976,,20355
2B356,Zalana,Changement de département,01-01-1976,,20356
2B361,Zilia,Changement de département,01-01-1976,,20361
2B364,Zuani,Changement de département,01-01-1976,,20364
2B365,San-Gavino-di-Fiumorbo,Changement de département,01-01-1976,,20365
2B366,Chisa,Changement de département,01-01-1976,,20366
30037,Bessèges,Fusion (commune absorbante),01-07-1972,30118,
30058,Cadière-et-Cambo,Fusion (commune absorbante),01-01-1969,30063,
30063,Cambo,Fusion (commune absorbée),01-01-1969,30058,
30118,Foussignargues,Fusion (commune absorbée),01-07-1972,30037,
31016,Argut-Dessus,Fusion (commune absorbée),01-08-1974,31085,
31085,Boutx,Fusion (commune absorbante),01-08-1974,31016,
31085,Boutx,Fusion (commune absorbante),01-08-1974,31154,
31144,Cierp-Gaud,Fusion (commune absorbante),21-03-1972,31214,
31144,Cierp-Gaud-Signac,Fusion (commune absorbante),01-01-1974,31548,
31144,Cierp-Gaud,Commune se séparant,01-02-1983,31548,
31154,Couledoux,Fusion (commune absorbée),01-08-1974,31085,
31214,Gaud,Fusion (commune absorbée),21-03-1972,31144,
31300,Lieoux,Fusion (commune absorbée),01-01-1974,31483,
31300,Lieoux,Rétablissement,13-02-2008,31483,
31483,Saint-Gaudens,Fusion (commune absorbante),01-01-1974,31300,
31483,Saint-Gaudens,Commune se séparant,13-02-2008,31300,
31548,Signac,Fusion (commune absorbée),01-01-1974,31144,
31548,Signac,Rétablissement,01-02-1983,31144,
32011,Artiguedieu,Fusion (commune absorbée),01-01-1973,32426,
32045,Berdoues-Ponsampère,Fusion (commune absorbante),01-01-1973,32323,
32045,Berdoues,Commune se séparant,01-01-1994,32323,
32065,Brouilh-Monbert,Fusion (commune absorbante),01-08-1974,32259,
32179,Lagraulas,Fusion (commune absorbée),01-01-1973,32462,
32259,Monbert,Fusion (commune absorbée),01-08-1974,32065,
32323,Ponsampère,Fusion (commune absorbée),01-01-1973,32045,
32323,Ponsampère,Rétablissement,01-01-1994,32045,
32426,Seissan,Fusion (commune absorbante),01-01-1973,32011,
32462,Vic-Fezensac,Fusion (commune absorbante),01-01-1973,32179,
33041,Béliet,Fusion (commune absorbée),01-09-1974,33042,
33042,Belin-Béliet,Fusion (commune absorbante),01-09-1974,33041,
33217,Lafosse,Fusion (commune absorbée),01-07-1974,33341,
33286,Monbadon,Fusion (commune absorbée),01-01-1989,33342,
33290,Montagne,Fusion (commune absorbante),01-03-1973,33313,
33290,Montagne,Fusion (commune absorbante),01-03-1973,33410,
33313,Parsac,Fusion (commune absorbée),01-03-1973,33290,
33341,Pugnac,Fusion (commune absorbante),01-07-1974,33217,
33342,Puisseguin,Fusion (commune absorbante),01-01-1989,33286,
33378,Saint-Avit-Saint-Nazaire,Fusion (commune absorbante),01-03-1973,33455,
